method,id,"Alter correctness
distance [m]"
uniform,9.0,599.2
uniform,9.0,684.8000000000001
uniform,9.0,513.6
uniform,9.0,599.2
uniform,9.0,684.8000000000001
uniform,9.0,770.4000000000001
uniform,9.0,770.4000000000001
uniform,9.0,684.8000000000001
uniform,9.0,1112.8
uniform,9.0,1027.2
uniform,9.0,1198.3999999999999
uniform,9.0,941.6000000000001
uniform,9.0,1112.8
uniform,9.0,856.0000000000001
uniform,9.0,770.4000000000001
uniform,9.0,1027.2
uniform,9.0,684.8000000000001
uniform,9.0,599.2
uniform,9.0,513.6
uniform,9.0,599.2
uniform,9.0,428.0
uniform,9.0,684.8000000000001
uniform,9.0,342.4
uniform,9.0,770.4000000000001
uniform,9.0,856.0000000000001
uniform,9.0,428.0
uniform,9.0,941.6000000000001
uniform,9.0,513.6
uniform,10.0,inf
uniform,10.0,1625.9199999999994
uniform,10.0,1634.3899999999996
uniform,10.0,1634.3799999999997
uniform,10.0,1548.7899999999995
uniform,10.0,1548.7999999999997
uniform,10.0,1463.1999999999996
uniform,10.0,1463.1999999999996
uniform,10.0,1463.1999999999998
uniform,10.0,1377.5999999999997
uniform,10.0,1870.3999999999994
uniform,10.0,1784.7999999999995
uniform,10.0,1955.9999999999993
uniform,10.0,1699.1999999999996
uniform,10.0,1613.5999999999997
uniform,10.0,2041.5999999999992
uniform,10.0,1527.9999999999998
uniform,10.0,1613.5999999999997
uniform,10.0,2127.1999999999994
uniform,10.0,1699.1999999999996
uniform,3.0,171.2
uniform,3.0,256.79999999999995
uniform,3.0,428.0
uniform,3.0,342.4
uniform,3.0,342.4
uniform,3.0,428.0
uniform,3.0,428.0
uniform,3.0,513.6
uniform,3.0,599.2
uniform,3.0,678.4000000000001
uniform,3.0,1112.8
uniform,3.0,1027.2
uniform,3.0,1198.3999999999999
uniform,3.0,941.6000000000001
uniform,3.0,1283.9999999999998
uniform,3.0,1369.5999999999997
uniform,3.0,856.0000000000001
uniform,3.0,1455.1999999999996
uniform,3.0,1534.3899999999996
uniform,3.0,1613.5899999999995
uniform,3.0,1699.1999999999996
uniform,3.0,1784.7999999999995
uniform,3.0,1613.5999999999997
uniform,3.0,1699.1999999999996
uniform,3.0,1613.5999999999997
uniform,3.0,1527.9999999999998
uniform,3.0,1442.3999999999999
uniform,3.0,1527.9999999999998
uniform,3.0,1356.8
uniform,3.0,1271.2
uniform,3.0,1613.5999999999997
uniform,3.0,1527.9999999999995
uniform,3.0,1442.3999999999996
uniform,3.0,1699.1999999999996
uniform,3.0,1192.0
uniform,3.0,1356.7999999999997
uniform,3.0,1264.8
uniform,3.0,1784.7999999999995
uniform,3.0,1112.8
uniform,3.0,1027.2
uniform,6.0,2041.5999999999992
uniform,6.0,2127.1999999999994
uniform,6.0,1955.9999999999993
uniform,6.0,2212.7999999999993
uniform,6.0,1870.3999999999994
